name,address,phone,rating,review_count,timing,url,images,source_category
M K Fitness Club,"Khajipura Basmat Khajipura, Basmath",Show Number,2.9,12,,,https://content.jdmagicbox.com/comp/basmath/x4/9999p2456.2456.181230063335.m6x4/catalogue/m-k-fitness-club-basmath-gyms-dtrmo9ys56-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/basmath/x4/9999p2456.2456.181230063335.m6x4/catalogue/m-k-fitness-club-basmath-gyms-ugb39mt8os-250.jpg?w=640&q=75,Gyms
Sai Gym,"Akola Bypass Road Mauli Nagar, Hingoli",,4.6,6,,https://www.justdial.com/Hingoli/Sai-Gym-Mauli-Nagar/9999P2456-2456-231019072707-Y6H7_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/v2/comp/hingoli/h7/9999p2456.2456.231019072707.y6h7/catalogue/sai-gym-mauli-nagar-hingoli-gyms-cxatio9d6n-250.jpg?w=640&q=75,Gyms
Fitbeat Fitness & Gym,"Nanded Road, Basmath",Show Number,4.6,5,,,https://images.jdmagicbox.com/comp/def_content/gymnasiums/default-gymnasiums-21-250.jpg?w=640&q=75,Gyms
Dange And Sons,"Jijamata Nagar Devda Nagar, Hingoli",Show Number,3.8,6,,https://www.justdial.com/Hingoli/Dange-And-Sons-Devda-Nagar/9999P2456-2456-180904152606-G4D5_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/gymnasiums/default-gymnasiums-17-250.jpg?w=640&q=75,Gyms
Indian Fitness Club,"Basmat Panchshilnagar, Basmath",Show Number,4.4,5,,,https://images.jdmagicbox.com/comp/def_content/gymnasiums/default-gymnasiums-2-250.jpg?w=640&q=75,Gyms
Sai Swaraj Fitness Association,"NTC Gate Shivraj Nagar, Hingoli",Show Number,3.1,6,,https://www.justdial.com/Hingoli/Sai-Swaraj-Fitness-Association-Near-Jio-Office-Shivraj-Nagar/9999P2456-2456-190301185205-Z1R5_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/gymnasiums/default-gymnasiums-5-250.jpg?w=640&q=75,Gyms
Sai Gym,"Nanded Road Bangar Nagar, Hingoli",Show Number,4.6,4,,https://www.justdial.com/Hingoli/Sai-Gym-Near-Sai-Shradha-Bichayat-Bangar-Nagar/9999P2456-2456-180223191337-U4F7_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/f7/9999p2456.2456.180223191337.u4f7/catalogue/sai-gym-hingoli-27jb4-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/f7/9999p2456.2456.180223191337.u4f7/catalogue/sai-gym-hingoli-6wlh4-250.jpg?w=640&q=75,Gyms
Royal Mk Fitness Club,"Kurund Kurunda, Basmath",Show Number,4.5,4,,,https://content.jdmagicbox.com/v2/comp/basmath/k5/9999p2456.2456.240611211504.p4k5/catalogue/royal-mk-fitness-club-basmath-gyms-vwdpu0qv9w-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/basmath/k5/9999p2456.2456.240611211504.p4k5/catalogue/royal-mk-fitness-club-basmath-gyms-byixcpwyno-250.jpg?w=640&q=75,Gyms
Rajasthan Vyayam Shala,"Talab Katta Mangalwara, Hingoli",Show Number,3.4,5,,https://www.justdial.com/Hingoli/Rajasthan-Vyayam-Shala-Mangalwara/9999P2456-2456-190330085413-W8N1_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/hingoli/n1/9999p2456.2456.190330085413.w8n1/catalogue/rajasthan-vyayam-shala-hingoli-gyms-iakd25chy0-250.jpg?w=640&q=75,Gyms
Swaraj Health Club,"Bangar Nagar, Hingoli",,3.5,4,,https://www.justdial.com/Hingoli/Swaraj-Health-Club-Near-Masjid-E-Aqsa-Bangar-Nagar/9999P2456-2456-220315204216-A3Y9_BZDET?trkid=&term=&ncatid=11575244&area=&search=Popular%20Gyms%20in%20Hingoli&mncatname=Gyms&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Gyms&isOpenAbd=1&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/gyms/shutterstock-251825506-gyms-7-l3j7u-250.jpg?w=640&q=75,Gyms
