name,address,phone,rating,review_count,timing,url,images,source_category
Mahtma Gandhi School,"Panchshilnagar Basmat Panchshilnagar, Basmath",,3.2,28,,,https://images.jdmagicbox.com/comp/def_content/schools/default-schools-2-250.jpg?w=640&q=75,Schools
Sahyadri Public School,"Jahagiri Basmat Jahagiri, Basmath",Show Number,4.2,21,,,https://content.jdmagicbox.com/comp/hingoli/r2/9999p2456.2456.180217104939.t1r2/catalogue/sahyadri-public-school-hingoli-schools-bgctx-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/basmath/r2/9999p2456.2456.180217104939.t1r2/catalogue/sahyadri-public-school-basmathnagar-basmath-public-schools-ojf2s8ojrf-250.jpg?w=640&q=75,Schools
Sayyed Coaching Classes,"Hingoli Tapdiya Nagar, Hingoli",,4.5,19,,https://www.justdial.com/Hingoli/Sayyed-Coaching-Classes-Tapdiya-Nagar/9999P2456-2456-251211111019-T7L2_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/schools/default-schools-6-250.jpg?w=640&q=75,Schools
Cambridge College,"Basmat, Basmath",,4.5,17,,,https://images.jdmagicbox.com/comp/def_content/schools/default-schools-4-250.jpg?w=640&q=75,Schools
Dnyaneshwar Secondary & High Secondary School,"Bus Stand Road Warud Chakrapan, Hingoli",Show Number,4.6,15,,https://www.justdial.com/Hingoli/Dnyaneshwar-Secondary-High-Secondary-School-Warud-Chakrapan-Talsengaon-Warud-Chakrapan/9999P2456-2456-150908194803-D4A2_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/a2/9999p2456.2456.150908194803.d4a2/catalogue/dnyaneshwar-vidyalaya-warud-chakrapan-hingoli-schools-oim1p3e67q-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/a2/9999p2456.2456.150908194803.d4a2/catalogue/dnyaneshwar-secondary-and-high-secondary-school-warud-chakrapan-hingoli-marathi-medium-schools-rylswyhf06-250.jpg?w=640&q=75,Schools
Universal English,"Jawala Khandarban Road Jahagiri, Basmath",,3.5,16,,,https://images.jdmagicbox.com/comp/def_content/schools/school-4-schools-11-dijhw-250.jpg?w=640&q=75,Schools
Bachpan Play School,"Kautha Road Jahagiri, Basmath",Show Number,3.8,14,,,https://content.jdmagicbox.com/v2/comp/hingoli/m9/9999p2456.2456.131120194614.w5m9/catalogue/bachpan-a-play-school-basmathnagar-basmath-schools-t3ubyelugf-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/m9/9999p2456.2456.131120194614.w5m9/catalogue/bachpan-a-play-school-basmathnagar-basmath-schools-37cbzapea5-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/m9/9999p2456.2456.131120194614.w5m9/catalogue/bachpan-a-play-school-basmathnagar-basmath-schools-loj1awvs48-250.jpg?w=640&q=75,Schools
Bachpan Play School,"Kadtans Building Kurunda, Basmath",Show Number,3.8,14,,,https://content.jdmagicbox.com/v2/comp/hingoli/m9/9999p2456.2456.131120194614.w5m9/catalogue/bachpan-a-play-school-basmathnagar-basmath-schools-37cbzapea5-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/m9/9999p2456.2456.131120194614.w5m9/catalogue/bachpan-a-play-school-basmathnagar-basmath-schools-loj1awvs48-250.jpg?w=640&q=75,Schools
Z P Primary School,"Luvkush Nagar, Hingoli",Show Number,4.7,10,,https://www.justdial.com/Hingoli/Z-P-Primary-School-Sawarkheda-Luvkush-Nagar/9999P2456-2456-180331183350-G5T8_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/schools/default-schools-5-250.jpg?w=640&q=75,Schools
Zilha Parishad Shala Sandas,"Nandapur, Hingoli",,5.0,9,,https://www.justdial.com/Hingoli/Zilha-Parishad-Shala-Sandas-Sadas-Tarf-Nandapur/9999P2456-2456-230626004152-I4G7_BZDET?trkid=&term=&ncatid=10422444&area=&search=Leading%20Educational%20Institutions%20:%20Top%20Schools%20in%20Hingoli&mncatname=Schools&ftterm=&abd_btn=Send%20Enquiry&abd_heading=Schools&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://images.jdmagicbox.com/comp/def_content/schools/default-schools-7-250.jpg?w=640&q=75,Schools
