name,address,phone,rating,review_count,timing,url,images,source_category
Yogiraj Advanced Ent Hospital,"NTC Bus Stand Road Tapdiya Nagar, Hingoli",Show Number,4.9,21,,https://www.justdial.com/Hingoli/Yogiraj-Advanced-Ent-Hospital-Besides-Godavari-Chest-Hospital-Tapdiya-Nagar/9999P2456-2456-240419000325-L7K7_BZDET?trkid=&term=&ncatid=10253670&area=&search=Hospitals%20in%20Hingoli%20-%20Book%20Appointment%20Online&mncatname=Hospitals&ftterm=&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/k7/9999p2456.2456.240419000325.l7k7/catalogue/yogiraj-advanced-ent-hospital-tapdiya-nagar-hingoli-parathyroid-adenoma-doctors-mch2nvwfpy-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/k7/9999p2456.2456.240419000325.l7k7/catalogue/yogiraj-advanced-ent-hospital-tapdiya-nagar-hingoli-ent-doctors-qgl4r8xmnj-250.jpg?w=640&q=75,Hospitals
Devkar Hospital,"Naryan Nagar Zp Road, Hingoli",Show Number,4.8,21,,https://www.justdial.com/Hingoli/Devkar-Hospital-Zp-Road/9999P2456-2456-221128152638-Q3A4_BZDET?trkid=&term=&ncatid=10253670&area=&search=Hospitals%20in%20Hingoli%20-%20Book%20Appointment%20Online&mncatname=Hospitals&ftterm=&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/comp/hingoli/a4/9999p2456.2456.221128152638.q3a4/catalogue/-6ulqir7u12-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/comp/hingoli/a4/9999p2456.2456.221128152638.q3a4/catalogue/devkar-hospital-zp-road-hingoli-general-physician-doctors-u7q0xnao8y-250.jpg?w=640&q=75,Hospitals
Mudhol Hospital,,,5.0,19,,https://www.justdial.com/Hingoli/Mudhol-Hospital-Akhara-Balapur/9999P2456-2456-240505181959-Z7I6_BZDET?trkid=&term=&ncatid=10253670&area=&search=Hospitals%20in%20Hingoli%20-%20Book%20Appointment%20Online&mncatname=Hospitals&ftterm=&abd_btn=&abd_heading=&bd=1&cat_b2b_flag=0&searchfrom=lst&thumbnail=,https://content.jdmagicbox.com/v2/comp/hingoli/i6/9999p2456.2456.240505181959.z7i6/catalogue/mudhol-hospital-akhara-balapur-hingoli-hospitals-dmgidt95q9-250.jpg?w=640&q=75 | https://content.jdmagicbox.com/v2/comp/hingoli/i6/9999p2456.2456.240505181959.z7i6/catalogue/mudhol-hospital-akhara-balapur-hingoli-hospitals-tcj7i95dlp-250.jpg?w=640&q=75,Hospitals
